PMID,Split,Number of Annotators,Aggregate,Has Human Subjects,Has Target Disease,Cohort Study or Clinical Trial,Has Quantitative Outcome Measure,Has Study Drug(s),Has Population Size,Has Comparator Group
33583283,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20673201,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30933857,Train,3,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0
25794779,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12820174,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8899094,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7838898,Test,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
11215153,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
9949726,Train,3,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0
21918510,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6355617,Validation,3,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
8912147,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
21881030,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27400856,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28528780,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24740178,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19536452,Validation,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
6397454,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29325133,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
11674925,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
26297729,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
18988286,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15726877,Train,3,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
3387183,Train,3,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0
16487622,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20832062,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2626330,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20538118,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3083445,Train,3,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14644398,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15965573,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0
25432523,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35240282,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12490776,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17372126,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34062196,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2897764,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1312683,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
22099891,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25465228,Train,3,1,1.0,0.0,1.0,0.0,1.0,1.0,0.0
22869299,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12630571,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
7577106,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30524162,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
28424434,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21043077,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1378143,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
30058857,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
30623857,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30092406,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8950336,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10442547,Train,3,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7746058,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
19102862,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19222406,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
14699540,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19452483,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66119,Train,3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15904632,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8792694,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1863141,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1362537,Train,3,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7557704,Validation,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
11137095,Validation,3,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
9217194,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26626451,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
7515648,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29477817,Train,3,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0
14581985,Train,3,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0
9515971,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
21635989,Validation,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3898401,Validation,3,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
12911659,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14674932,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
8732173,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
21897213,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
26768436,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29945806,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1350491,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
9571652,Train,3,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
17948872,Test,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
16866863,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7680306,Test,3,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
33767276,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31929534,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9571327,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
30790132,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21167804,Test,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
28643317,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3987782,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
14721795,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22575771,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
23814850,Test,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
24451078,Train,3,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0
26160213,Train,3,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
7506335,Train,3,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9750975,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
30097339,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2368891,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
18520609,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26923283,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16044100,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17845759,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1290314,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
17572251,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2093020,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8361220,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12425803,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
24244342,Test,3,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0
29445271,Train,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
7661838,Train,3,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0
32248578,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24062147,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12271449,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0
31469752,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31896491,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10632645,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12657482,Train,3,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0
11392571,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
11061657,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21703636,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2474109,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15381643,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30429431,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7921529,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9663841,Test,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
29321548,Train,3,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0
26452405,Train,3,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0
14556543,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29512177,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
14604304,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
29802627,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
33893087,Train,3,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8682134,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7272956,Train,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
8510088,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32316515,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18403218,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
17942015,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
32464225,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9552709,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10622623,Train,3,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
16096702,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24024757,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27655469,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31073022,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34535015,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
29433578,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12580995,Validation,3,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1826071,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
10938493,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35279338,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15209479,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
10654204,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
26639492,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9173668,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21877765,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34729920,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20302588,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7951343,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31387895,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
23045592,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12036194,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20015242,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
24469880,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20469785,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28716642,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18840377,Train,3,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9330414,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11730260,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16687625,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
26091447,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
29898002,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9746123,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23538479,Train,3,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
22855283,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22747631,Train,3,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7965266,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
8422597,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8090336,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29393744,Test,3,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0
25587129,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0
15927394,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
11922552,Train,3,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
9043536,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
26198842,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11709322,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25070672,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27711224,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
18078907,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23647505,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
10503821,Train,3,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
23528913,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33073739,Train,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
15922817,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35440370,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
23865441,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
15175486,Train,3,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0
23394867,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20970556,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7951086,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24444537,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3181443,Train,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
23317929,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8648016,Test,3,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2044726,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35012875,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
30141228,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26071206,Validation,3,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0
23683993,Train,3,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0
22972535,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36064370,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
9701432,Test,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2875954,Train,3,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0
28391030,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
9743300,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1053479,Train,3,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0
10668769,Train,3,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0
15799844,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25048744,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34363847,Train,3,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
12860503,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17370084,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2209825,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
33064450,Train,3,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
29606415,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
31313040,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15653023,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0
35483753,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22996862,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29061568,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11953077,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10367592,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29562422,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11313088,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18371472,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
321410,Train,3,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7900628,Validation,3,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
32203937,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
28397996,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0
9354197,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0
8389536,Test,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
22864179,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25651483,Validation,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
16000678,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
21036355,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30558805,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14991869,Train,3,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
33493729,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30922521,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9427893,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17088330,Validation,3,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
33308989,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9663367,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
18424028,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
25707517,Train,3,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0
35247924,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
8734182,Train,3,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0
17161086,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1173042,Train,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16008715,Train,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
28130378,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
11890487,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33334703,Train,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
26765406,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26106009,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8364952,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25601106,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26742966,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31169741,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33929878,Train,3,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
31425618,Train,3,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0
7562296,Test,3,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0
30601417,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28960869,Validation,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12664317,Train,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20172704,Validation,3,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
14648210,Test,3,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3310197,Train,3,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0
